Team 2: Rachelle Burgos, Bahi Berk Gulay										
										
Attributes	Domain	Type	Domain Example	DB Name	Is it atomic?	Is it part of a repeating group?	Group ID	Table/Entity	Primary Key	Foreign Key
Country										
COUNTRY_ID	Unique identifiers	CHAR(36)	636	COUNTRY_ID	TRUE	FALSE	COUNTRY	COUNTRY	TRUE	FALSE
COUNTRY_NAME	Names of countries	varchar(100)	United States of America	COUNTRY_NAME	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
CODE	Country abbreviation	varchar(3)	US	CODE	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
COUNTRY_CAPITAL	Country's capital city	varchar(32)	Washington, D.C.	COUNTRY_CAPITAL	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
DESCRIPTION	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	DESCRIPTION	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
MEDIA_ID	Reference to MEDIA_ID in the Media table	varchar(500)	https://foo-bar.com	MEDIA_ID	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
POPULATION	Non-negative integers	unsigned int	10,000,000	POPULATION	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
MAIN_LANGUAGE	Languages	varchar(32)	English	MAIN_LANGUAGE	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
CURRENCY	Currencies	varchar(32)	USD	CURRENCY	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
TIMEZONE	Time zone strings	varchar(32)	UTC+3	TIMEZONE	TRUE	FALSE	COUNTRY	COUNTRY	FALSE	FALSE
City										
CITY_ID	Unique identifiers	CHAR(36)	569	CITY_ID	TRUE	FALSE	CITY	CITY	TRUE	FALSE
COUNTRY_ID	Reference to COUNTRY_ID in the Country table	CHAR(36)	959	COUNTRY_ID	TRUE	FALSE	CITY	CITY	FALSE	TRUE
CITY_NAME	Names of cities	varchar(100)	New York	CITY_NAME	TRUE	FALSE	CITY	CITY	FALSE	FALSE
CITY_DESCRIPTION	Description of the city	varchar(500)	Lorem Ipsum	CITY_DESCRIPTION	TRUE	FALSE	CITY	CITY	FALSE	FALSE
